,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,derived heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,derived heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,district heat share,total international navigation
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,28.008888091344804,,5.455241228955403,,,,,,,,11.623169655856636,,2.0326818266104056,,,,,,,,,,,,23.09860795486979,,,,,,,,,,0.0,0.0,,,,,,,0.3175408592609383,8.019873462237577,0.08664491754899735,0.27473454717350265,0.4041857768099356,8.29460800941108,,,0.2416059991247961
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,32.11107121352939,,8.927602542061218,,,,,,,,16.314806174421143,,2.756538133033153,,,,,,,,,,,,34.702337858200565,,,,,,,,,,0.0,0.0,,,,,,,0.0,14.338307325041633,0.6338343276467426,2.739215861420868,0.6338343276467426,17.0775231864625,,,80.3285941043084
BG,8.695305699758315,,3.383286789648684,,,,,,,,2.719748356092907,,0.971910730051058,,,,,,,,,,,,10.354620657500613,,,,,,,,,,0.0,0.0,,,,,,,0.06093257480087518,1.6330380928802382,0.015871880699889172,0.011356270840914624,0.07680445550076435,1.6443943637211529,,,0.8947949238174803
CH,25.325220240351847,,4.697625798173555,,,,,,,,10.572004690938826,,1.4865904424599856,,,,,,,,,,,,17.83791717790028,,,,,,,,,,0.0,0.0,,,,,,,0.8194594802459855,16.075930279597564,0.07258532241276647,1.1983966428766581,0.892044802658752,17.274326922474224,,,0.0
CZ,40.93361903662361,,5.788086544383143,,,,,,,,15.527960862109769,,1.7429286699874202,,,,,,,,,,,,39.10756895766035,,,,,,,,,,0.0,0.0,,,,,,,0.10902295531872888,3.958059383462181,0.033369862135632464,0.031448064053802606,0.14239281745436133,3.9895074475159835,,,0.0
DE,258.605039757767,,46.402924187812765,,,,,,,,105.4190246527886,,20.322998949083104,,,,,,,,,,,,205.46636740095792,,,,,,,,,,0.0,0.0,,,,,,,8.432241428054247,76.51126380156995,2.205341033010547,10.888749501309318,10.637582461064795,87.40001330287927,,,32.13956697298803
DK,19.980239926132622,,6.095905945648371,,,,,,,,6.639234071597923,,1.608425277537677,,,,,,,,,,,,12.366715719189656,,,,,,,,,,0.0,0.0,,,,,,,0.7570890412500971,9.551859896590043,0.12368926793617577,0.19017758109176103,0.8807783091862729,9.742037477681805,,,8.272305167681107
EE,4.033658514978189,,1.1773297573124069,,,,,,,,1.4249071717497332,,0.2724341706371364,,,,,,,,,,,,3.106710119214384,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.3967731747754371,0.003624687664924051,0.0061420678667355386,0.003624687664924051,0.40291524264217266,,,2.209984286112106
ES,38.7638350099025,,21.795459360040205,,,,,,,,21.40803360051979,,7.597839451056092,,,,,,,,,,,,128.6938453823509,,,,,,,,,,0.0,0.0,,,,,,,24.535555543530545,41.30259701554366,0.41925646182792015,0.705958236840813,24.954812005358466,42.008555252384475,,,101.50038568643832
FI,25.31077357952867,,4.510509540966453,,,,,,,,12.622060315865909,,1.2910649614684495,,,,,,,,,,,,14.791855111286544,,,,,,,,,,0.0,0.0,,,,,,,1.7485334047369514,6.361595898317917,0.11072162639808834,0.25067741624028833,1.8592550311350398,6.612273314558205,,,2.356369097346541
FR,133.8578461586875,,30.69029770218522,,,,,,,,72.81929284001366,,12.50080666246502,,,,,,,,,,,,152.41091944534026,,,,,,,,,,0.0,0.0,,,,,,,20.29535264082272,52.87822901802052,1.5714413157919593,2.283404258777363,21.86679395661468,55.161633276797886,,,29.26786649162589
GB,160.80218591571276,,42.165799258595904,,,,,,,,65.61388328471936,,11.24317450760084,,,,,,,,,,,,139.45076244442507,,,,,,,,,,0.0,0.0,,,,,,,8.741120513246132,125.7273059384392,0.9517862019973009,6.353400150486534,9.692906715243433,132.08070608892572,,,36.32816227075626
GR,17.74691428329962,,6.907920155115563,,,,,,,,2.4771719356855444,,2.661294828944135,,,,,,,,,,,,35.38656890457478,,,,,,,,,,0.0,0.0,,,,,,,1.6588918519757754,9.432824130353223,0.0777057960077119,0.03258346885591063,1.7365976479834873,9.465407599209135,,,32.78024923419661
HR,10.629571529751262,,2.205180124321266,,,,,,,,1.9913219991782865,,0.4573702998282969,,,,,,,,,,,,7.566940660055783,,,,,,,,,,0.0,0.0,,,,,,,0.10759327112928299,0.9622153647095939,0.0033645877444148462,0.003256372332079524,0.11095785887369784,0.9654717370416734,,,0.27372538489079845
HU,27.59012578345297,,3.872314664169069,,,,,,,,11.001520727171108,,1.1431950886742557,,,,,,,,,,,,39.079074481719935,,,,,,,,,,0.0,0.0,,,,,,,0.0,2.2899864822888207,0.018463444989377725,0.011465943402142848,0.018463444989377725,2.3014524256909636,,,0.0
IE,10.668617696103247,,2.623622074422271,,,,,,,,3.5770463313302208,,0.7076182169658203,,,,,,,,,,,,8.012677436483315,,,,,,,,,,0.0,0.0,,,,,,,0.0320419659589876,7.95617870736558,0.08070843969145983,0.09765219994834726,0.11275040565044743,8.053830907313927,,,1.1477706170187374
IT,89.35457671921446,,31.8145268024926,,,,,,,,31.6812803059702,,9.363566855900409,,,,,,,,,,,,150.60954511642905,,,,,,,,,,0.0,0.0,,,,,,,13.606177443440371,31.23284849768161,0.287965678280376,1.1006237772459484,13.894143121720747,32.33347227492756,,,29.711284560607876
